Simulated Spectral Output From CRREL Snow RTM
File Created: Tue Sep 13 11:02:42 2022
Short Description: 34mm Feb12 Observations - 85% diffuse
20000 photons used in simulation
Incident Zenith Angle = 1.00 Degrees
Incident Azimuth Angle = 1.00 Degrees
Slab Depth = 600.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/Users/rdcrltwl/Desktop/CRRELRTM/PaperPythonScripts/SampleData/Facets/
- LayerTops:600.0,0.0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Facets_Optical.txt
- Fsoot:0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/Users/rdcrltwl/Desktop/NewRTM/crrel-snow-rtm/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.02
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
400.000,0.989,0.010,0.001
420.000,0.990,0.009,0.001
440.000,0.990,0.009,0.001
460.000,0.988,0.009,0.002
480.000,0.987,0.008,0.004
500.000,0.985,0.008,0.008
520.000,0.981,0.006,0.013
540.000,0.978,0.004,0.018
560.000,0.973,0.003,0.024
580.000,0.969,0.002,0.029
600.000,0.963,0.002,0.035
620.000,0.955,0.001,0.044
640.000,0.949,0.000,0.051
660.000,0.941,0.000,0.060
680.000,0.935,0.000,0.065
700.000,0.928,0.000,0.073
720.000,0.915,0.000,0.086
740.000,0.903,0.000,0.097
760.000,0.892,0.000,0.108
780.000,0.871,0.000,0.130
800.000,0.857,0.000,0.144
820.000,0.855,0.000,0.146
840.000,0.851,0.000,0.150
860.000,0.828,0.000,0.173
880.000,0.791,0.000,0.210
900.000,0.776,0.000,0.225
920.000,0.764,0.000,0.237
940.000,0.751,0.000,0.251
960.000,0.721,0.000,0.281
980.000,0.672,0.000,0.330
1000.000,0.632,0.000,0.371
1020.000,0.582,0.000,0.421
1040.000,0.584,0.000,0.420
1060.000,0.610,0.000,0.393
1080.000,0.635,0.000,0.368
1100.000,0.637,0.000,0.366
1120.000,0.629,0.000,0.373
1140.000,0.602,0.000,0.400
1160.000,0.564,0.000,0.440
1180.000,0.493,0.000,0.512
1200.000,0.450,0.000,0.555
1220.000,0.385,0.000,0.621
1240.000,0.358,0.000,0.648
1260.000,0.348,0.000,0.658
1280.000,0.345,0.000,0.660
1300.000,0.355,0.000,0.651
1320.000,0.357,0.000,0.649
1340.000,0.354,0.000,0.651
1360.000,0.346,0.000,0.660
1380.000,0.339,0.000,0.667
1400.000,0.303,0.000,0.703
1420.000,0.169,0.000,0.839
1440.000,0.093,0.000,0.915
1460.000,0.061,0.000,0.944
1480.000,0.042,0.000,0.962
1500.000,0.038,0.000,0.965
1520.000,0.040,0.000,0.963
1540.000,0.044,0.000,0.961
1560.000,0.050,0.000,0.955
1580.000,0.055,0.000,0.950
