,Mesh Density,Mesh SSA,K_ext,F_ice,Rho*SSA,B,Diam,Asym,SnowType,FileName
0,145.79,19.75,0.7001,0.327,2.8793525,1.776,0.33,0.84,MF,01Feb_UVD_Pit1_A_1_1.txt
1,326.74,13.53,0.8769,0.514,4.4207922,1.443,0.48,0.84,F,12Feb_UVD_Pit1_13_3.txt
2,287.92,12.45,0.7213,0.487,3.5846039999999997,1.563,0.53,0.84,F,12Feb_UVD_Pit1_8_4.txt
3,422.02,12.22,0.961,0.603,5.1570844,1.338,0.54,0.83,M,12Feb_UVD_Pit1_13_2.txt
4,268.68,17.68,1.0098,0.471,4.7502623999999996,1.524,0.37,0.82,N,Pit1_6_3.txt
5,232.06,12.85,0.6512,0.448,2.981971,1.599,0.51,0.84,M,12Feb_UVD_Pit1_3_10redo.txt
6,252.77,16.48,0.8741,0.446,4.165649600000001,1.578,0.4,0.83,F,12Feb_UVD_Pit1_8_2.txt
7,394.3,8.37,0.6229,0.584,3.3002909999999996,1.308,0.78,0.82,C,01Feb_UVD_Pit1_A_5_1.txt
8,286.99,18.44,1.0973,0.483,5.292095600000001,1.521,0.35,0.82,N,Pit1_6_1.txt
9,304.15,13.9,0.8438,0.499,4.227684999999999,1.491,0.47,0.83,F,12Feb_UVD_Pit1_13_4.txt
10,346.28,10.51,0.7069,0.518,3.6394028,1.377,0.62,0.84,F,12Feb_UVD_Pit1_12_3.txt
11,589.7,6.98,0.6609,0.735,4.116106,1.203,0.94,0.82,C,20Feb_CRREL_2_Rec.txt
12,282.4,12.87,0.7463,0.479,3.6344879999999993,1.515,0.51,0.84,F,12Feb_UVD_Pit1_9_3_TOP.txt
13,275.14,20.63,1.172,0.466,5.6761382,1.496,0.32,0.83,M,12Feb_Pit1_3_3.txt
14,344.31,9.87,0.6577,0.547,3.3983396999999997,1.491,0.66,0.83,C,01Feb_UVD_Pit1_A_2_2.txt
15,250.06,21.12,1.1269,0.439,5.2812672,1.54,0.31,0.82,MF,Pit1_1_3.txt
16,178.05,27.23,1.0883,0.346,4.848301500000001,1.684,0.24,0.84,MF,Pit1_1_2.txt
17,248.35,24.44,1.2902,0.439,6.069674,1.579,0.27,0.82,M,12Feb_Pit1_3_2.txt
18,146.89,26.1,0.9202,0.326,3.8338289999999997,1.856,0.25,0.82,MF,Pit1_1_1redo.txt
19,214.18,18.95,0.8982,0.41,4.058711,1.698,0.35,0.82,N,Pit1_5_2.txt
20,314.92,12.31,0.7911,0.519,3.8766652000000006,1.473,0.53,0.84,F,12Feb_UVD_Pit1_9_3_Bottom.txt
21,252.86,9.65,0.5704,0.503,2.440099,1.35,0.68,0.81,F,12Feb_UVD_Pit1_12_4.txt
22,243.23,15.6,0.809,0.442,3.794388,1.598,0.42,0.83,F,12Feb_UVD_Pit1_9_1.txt
23,255.3,8.17,0.4319,0.47,2.085801,1.441,0.8,0.83,F,12Feb_UVD_Pit1_10_1_TOP.txt
24,197.82,22.31,0.9641,0.385,4.4133642,1.666,0.29,0.83,M,16Mar_HBEF_1_1_Rec.txt
25,168.96,26.68,1.0731,0.346,4.5078528,1.721,0.25,0.84,MF,Optical_Properties_Pit1_1_2.txt
26,312.52,14.1,0.8855,0.512,4.4065319999999994,1.486,0.46,0.84,F,UVD_Pit1_A_5_2.txt
27,246.7,19.02,1.0138,0.446,4.692233999999999,1.568,0.34,0.83,MF,12Feb_UVD_Pit1_2_4.txt
28,629.83,4.17,0.393,0.747,2.6263911,1.149,1.57,0.84,C,21Mar_CRREL_2_Rec.txt
29,146.89,26.1,0.9008,0.324,3.8338289999999997,1.88,0.25,0.82,M,Optical_Properties_Pit1_1_1.txt
30,272.02,17.39,0.9959,0.463,4.730427799999999,1.504,0.38,0.83,M,UVD_Pit1_A_3_2.txt
31,219.72,13.12,0.621,0.426,2.8827264,1.564,0.5,0.84,M,UVD_Pit1_A_1_3.txt
