Simulated Spectral Output From CRREL Snow RTM
File Created: Tue Jul 19 10:34:19 2022
Short Description: Coarse_Grain for depth 2.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 20.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:20.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:12Feb_UVD_Pit1_3_10redo.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.772,0.228,0.000
400.000,0.775,0.225,0.000
420.000,0.773,0.227,0.000
440.000,0.773,0.227,0.000
460.000,0.772,0.228,0.000
480.000,0.772,0.228,0.000
500.000,0.775,0.225,0.000
520.000,0.773,0.227,0.001
540.000,0.767,0.232,0.001
560.000,0.773,0.226,0.001
580.000,0.771,0.228,0.002
600.000,0.773,0.225,0.002
620.000,0.774,0.222,0.003
640.000,0.770,0.226,0.005
660.000,0.770,0.224,0.006
680.000,0.767,0.226,0.007
700.000,0.768,0.222,0.010
720.000,0.762,0.225,0.014
740.000,0.766,0.218,0.016
760.000,0.761,0.218,0.022
780.000,0.755,0.215,0.031
800.000,0.751,0.211,0.038
820.000,0.751,0.209,0.040
840.000,0.755,0.204,0.041
860.000,0.738,0.205,0.057
880.000,0.724,0.193,0.083
900.000,0.716,0.185,0.099
920.000,0.708,0.183,0.109
940.000,0.699,0.179,0.122
960.000,0.678,0.165,0.156
980.000,0.652,0.142,0.206
1000.000,0.619,0.116,0.264
1020.000,0.575,0.097,0.328
1040.000,0.573,0.096,0.330
1060.000,0.603,0.107,0.290
1080.000,0.616,0.117,0.267
1100.000,0.621,0.120,0.259
1120.000,0.613,0.120,0.267
1140.000,0.593,0.103,0.304
1160.000,0.559,0.083,0.358
1180.000,0.492,0.053,0.455
1200.000,0.444,0.034,0.522
1220.000,0.385,0.017,0.599
1240.000,0.354,0.013,0.634
1260.000,0.348,0.011,0.643
1280.000,0.344,0.012,0.646
1300.000,0.350,0.012,0.639
1320.000,0.353,0.012,0.636
1340.000,0.351,0.012,0.638
1360.000,0.350,0.011,0.640
1380.000,0.330,0.009,0.663
1400.000,0.300,0.005,0.697
1420.000,0.165,0.000,0.839
1440.000,0.091,0.000,0.913
1460.000,0.059,0.000,0.944
1480.000,0.040,0.000,0.962
1500.000,0.038,0.000,0.964
1520.000,0.039,0.000,0.963
1540.000,0.041,0.000,0.961
1560.000,0.050,0.000,0.952
1580.000,0.055,0.000,0.948
1600.000,0.063,0.000,0.940
