Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 11:49:14 2022
Short Description: Coarse_Grain for depth 60.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 600.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:600.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:12Feb_UVD_Pit1_3_10redo.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.989,0.010,0.000
400.000,0.988,0.011,0.000
420.000,0.989,0.010,0.001
440.000,0.990,0.009,0.001
460.000,0.988,0.009,0.002
480.000,0.988,0.008,0.004
500.000,0.983,0.009,0.008
520.000,0.981,0.006,0.012
540.000,0.977,0.005,0.018
560.000,0.972,0.004,0.024
580.000,0.966,0.003,0.031
600.000,0.963,0.002,0.036
620.000,0.955,0.001,0.044
640.000,0.948,0.000,0.052
660.000,0.940,0.000,0.060
680.000,0.934,0.000,0.066
700.000,0.925,0.000,0.076
720.000,0.909,0.000,0.091
740.000,0.905,0.000,0.096
760.000,0.887,0.000,0.114
780.000,0.867,0.000,0.133
800.000,0.854,0.000,0.146
820.000,0.848,0.000,0.152
840.000,0.848,0.000,0.153
860.000,0.826,0.000,0.175
880.000,0.787,0.000,0.214
900.000,0.770,0.000,0.231
920.000,0.762,0.000,0.239
940.000,0.743,0.000,0.258
960.000,0.717,0.000,0.284
980.000,0.666,0.000,0.335
1000.000,0.623,0.000,0.379
1020.000,0.580,0.000,0.421
1040.000,0.578,0.000,0.424
1060.000,0.609,0.000,0.392
1080.000,0.620,0.000,0.381
1100.000,0.635,0.000,0.367
1120.000,0.622,0.000,0.379
1140.000,0.597,0.000,0.404
1160.000,0.555,0.000,0.447
1180.000,0.486,0.000,0.516
1200.000,0.437,0.000,0.565
1220.000,0.377,0.000,0.626
1240.000,0.349,0.000,0.653
1260.000,0.339,0.000,0.664
1280.000,0.344,0.000,0.659
1300.000,0.344,0.000,0.659
1320.000,0.350,0.000,0.653
1340.000,0.347,0.000,0.656
1360.000,0.336,0.000,0.667
1380.000,0.326,0.000,0.676
1400.000,0.298,0.000,0.705
1420.000,0.162,0.000,0.842
1440.000,0.091,0.000,0.912
1460.000,0.055,0.000,0.948
1480.000,0.037,0.000,0.965
1500.000,0.036,0.000,0.966
1520.000,0.039,0.000,0.963
1540.000,0.044,0.000,0.958
1560.000,0.049,0.000,0.953
1580.000,0.054,0.000,0.948
1600.000,0.060,0.000,0.943
