Simulated Spectral Output From CRREL Snow RTM
File Created: Tue Jul 19 10:58:44 2022
Short Description: Fine_Grain for depth 11.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 110.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:110.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Pit1_6_1.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.970,0.030,0.000
400.000,0.971,0.029,0.000
420.000,0.972,0.028,0.000
440.000,0.971,0.028,0.000
460.000,0.971,0.029,0.000
480.000,0.971,0.028,0.001
500.000,0.971,0.027,0.002
520.000,0.970,0.027,0.003
540.000,0.967,0.028,0.005
560.000,0.967,0.025,0.007
580.000,0.964,0.026,0.010
600.000,0.963,0.024,0.013
620.000,0.959,0.023,0.018
640.000,0.953,0.022,0.025
660.000,0.952,0.018,0.030
680.000,0.945,0.019,0.036
700.000,0.939,0.015,0.046
720.000,0.930,0.012,0.057
740.000,0.924,0.011,0.065
760.000,0.911,0.008,0.081
780.000,0.899,0.005,0.096
800.000,0.886,0.003,0.111
820.000,0.883,0.003,0.114
840.000,0.885,0.003,0.112
860.000,0.862,0.002,0.136
880.000,0.834,0.001,0.166
900.000,0.821,0.000,0.179
920.000,0.807,0.000,0.194
940.000,0.803,0.000,0.197
960.000,0.777,0.000,0.224
980.000,0.738,0.000,0.263
1000.000,0.696,0.000,0.305
1020.000,0.656,0.000,0.346
1040.000,0.651,0.000,0.350
1060.000,0.679,0.000,0.322
1080.000,0.700,0.000,0.301
1100.000,0.698,0.000,0.303
1120.000,0.698,0.000,0.303
1140.000,0.668,0.000,0.333
1160.000,0.636,0.000,0.365
1180.000,0.571,0.000,0.430
1200.000,0.520,0.000,0.482
1220.000,0.464,0.000,0.538
1240.000,0.437,0.000,0.565
1260.000,0.426,0.000,0.576
1280.000,0.424,0.000,0.578
1300.000,0.432,0.000,0.570
1320.000,0.435,0.000,0.567
1340.000,0.433,0.000,0.570
1360.000,0.427,0.000,0.576
1380.000,0.414,0.000,0.588
1400.000,0.378,0.000,0.625
1420.000,0.231,0.000,0.773
1440.000,0.133,0.000,0.871
1460.000,0.087,0.000,0.916
1480.000,0.061,0.000,0.942
1500.000,0.056,0.000,0.946
1520.000,0.056,0.000,0.946
1540.000,0.064,0.000,0.939
1560.000,0.075,0.000,0.928
1580.000,0.083,0.000,0.920
1600.000,0.093,0.000,0.910
