Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 10:30:50 2022
Short Description: Fine_Grain for depth 60.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 600.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:600.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Pit1_6_1.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.994,0.006,0.000
400.000,0.994,0.006,0.001
420.000,0.995,0.004,0.001
440.000,0.994,0.005,0.001
460.000,0.992,0.005,0.002
480.000,0.991,0.004,0.004
500.000,0.989,0.003,0.008
520.000,0.987,0.002,0.011
540.000,0.984,0.001,0.014
560.000,0.979,0.001,0.020
580.000,0.974,0.000,0.026
600.000,0.972,0.000,0.028
620.000,0.967,0.000,0.033
640.000,0.959,0.000,0.041
660.000,0.954,0.000,0.046
680.000,0.948,0.000,0.052
700.000,0.943,0.000,0.057
720.000,0.932,0.000,0.068
740.000,0.924,0.000,0.076
760.000,0.912,0.000,0.088
780.000,0.898,0.000,0.102
800.000,0.888,0.000,0.112
820.000,0.882,0.000,0.118
840.000,0.882,0.000,0.119
860.000,0.864,0.000,0.136
880.000,0.834,0.000,0.167
900.000,0.820,0.000,0.180
920.000,0.812,0.000,0.188
940.000,0.798,0.000,0.203
960.000,0.775,0.000,0.226
980.000,0.735,0.000,0.265
1000.000,0.695,0.000,0.306
1020.000,0.657,0.000,0.344
1040.000,0.653,0.000,0.348
1060.000,0.674,0.000,0.327
1080.000,0.694,0.000,0.307
1100.000,0.700,0.000,0.301
1120.000,0.697,0.000,0.304
1140.000,0.671,0.000,0.330
1160.000,0.633,0.000,0.368
1180.000,0.570,0.000,0.432
1200.000,0.530,0.000,0.471
1220.000,0.468,0.000,0.534
1240.000,0.437,0.000,0.565
1260.000,0.428,0.000,0.574
1280.000,0.429,0.000,0.573
1300.000,0.435,0.000,0.567
1320.000,0.435,0.000,0.568
1340.000,0.437,0.000,0.565
1360.000,0.428,0.000,0.574
1380.000,0.413,0.000,0.589
1400.000,0.378,0.000,0.624
1420.000,0.227,0.000,0.776
1440.000,0.131,0.000,0.872
1460.000,0.087,0.000,0.916
1480.000,0.060,0.000,0.942
1500.000,0.056,0.000,0.946
1520.000,0.058,0.000,0.944
1540.000,0.063,0.000,0.939
1560.000,0.074,0.000,0.929
1580.000,0.084,0.000,0.919
1600.000,0.094,0.000,0.909
