Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:58:43 2022
Short Description: KEXT_MAX/Fice_max for depth 9.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 90.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:90.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.968,0.032,0.000
400.000,0.970,0.030,0.000
420.000,0.968,0.032,0.000
440.000,0.968,0.032,0.000
460.000,0.968,0.032,0.001
480.000,0.966,0.033,0.001
500.000,0.966,0.032,0.002
520.000,0.964,0.032,0.004
540.000,0.963,0.031,0.006
560.000,0.960,0.031,0.009
580.000,0.959,0.029,0.012
600.000,0.956,0.027,0.016
620.000,0.954,0.025,0.022
640.000,0.946,0.024,0.030
660.000,0.940,0.022,0.038
680.000,0.937,0.019,0.044
700.000,0.931,0.014,0.055
720.000,0.920,0.013,0.067
740.000,0.910,0.011,0.079
760.000,0.900,0.008,0.092
780.000,0.881,0.005,0.114
800.000,0.867,0.003,0.130
820.000,0.865,0.003,0.132
840.000,0.864,0.003,0.133
860.000,0.840,0.002,0.158
880.000,0.810,0.001,0.190
900.000,0.788,0.000,0.212
920.000,0.785,0.000,0.216
940.000,0.767,0.000,0.234
960.000,0.738,0.000,0.263
980.000,0.697,0.000,0.304
1000.000,0.655,0.000,0.346
1020.000,0.617,0.000,0.384
1040.000,0.605,0.000,0.397
1060.000,0.636,0.000,0.365
1080.000,0.655,0.000,0.346
1100.000,0.663,0.000,0.338
1120.000,0.652,0.000,0.349
1140.000,0.630,0.000,0.371
1160.000,0.587,0.000,0.414
1180.000,0.523,0.000,0.479
1200.000,0.475,0.000,0.527
1220.000,0.411,0.000,0.591
1240.000,0.387,0.000,0.616
1260.000,0.374,0.000,0.628
1280.000,0.376,0.000,0.627
1300.000,0.381,0.000,0.621
1320.000,0.380,0.000,0.623
1340.000,0.381,0.000,0.621
1360.000,0.371,0.000,0.632
1380.000,0.362,0.000,0.641
1400.000,0.333,0.000,0.669
1420.000,0.189,0.000,0.815
1440.000,0.105,0.000,0.898
1460.000,0.067,0.000,0.935
1480.000,0.045,0.000,0.957
1500.000,0.041,0.000,0.961
1520.000,0.045,0.000,0.957
1540.000,0.050,0.000,0.952
1560.000,0.057,0.000,0.945
1580.000,0.064,0.000,0.939
1600.000,0.071,0.000,0.932
