Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 10:24:33 2022
Short Description: KEXT_MAX/Fice_mean for depth 7.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 70.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:70.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.959,0.041,0.000
400.000,0.959,0.040,0.000
420.000,0.961,0.039,0.000
440.000,0.959,0.041,0.000
460.000,0.960,0.039,0.000
480.000,0.958,0.041,0.001
500.000,0.958,0.041,0.001
520.000,0.957,0.041,0.002
540.000,0.956,0.041,0.003
560.000,0.957,0.039,0.004
580.000,0.956,0.037,0.006
600.000,0.952,0.039,0.009
620.000,0.950,0.038,0.012
640.000,0.948,0.036,0.016
660.000,0.946,0.034,0.020
680.000,0.942,0.034,0.024
700.000,0.937,0.031,0.032
720.000,0.932,0.027,0.041
740.000,0.927,0.025,0.048
760.000,0.917,0.022,0.062
780.000,0.906,0.016,0.078
800.000,0.893,0.014,0.093
820.000,0.890,0.014,0.096
840.000,0.888,0.013,0.098
860.000,0.869,0.010,0.121
880.000,0.845,0.005,0.150
900.000,0.829,0.004,0.168
920.000,0.821,0.003,0.176
940.000,0.811,0.002,0.187
960.000,0.785,0.001,0.214
980.000,0.751,0.000,0.249
1000.000,0.710,0.000,0.291
1020.000,0.673,0.000,0.328
1040.000,0.674,0.000,0.327
1060.000,0.692,0.000,0.309
1080.000,0.710,0.000,0.290
1100.000,0.717,0.000,0.284
1120.000,0.711,0.000,0.290
1140.000,0.689,0.000,0.312
1160.000,0.651,0.000,0.350
1180.000,0.595,0.000,0.407
1200.000,0.546,0.000,0.456
1220.000,0.482,0.000,0.520
1240.000,0.459,0.000,0.543
1260.000,0.451,0.000,0.551
1280.000,0.450,0.000,0.552
1300.000,0.452,0.000,0.551
1320.000,0.454,0.000,0.549
1340.000,0.453,0.000,0.549
1360.000,0.450,0.000,0.552
1380.000,0.430,0.000,0.573
1400.000,0.401,0.000,0.601
1420.000,0.244,0.000,0.760
1440.000,0.145,0.000,0.859
1460.000,0.096,0.000,0.908
1480.000,0.066,0.000,0.937
1500.000,0.062,0.000,0.941
1520.000,0.067,0.000,0.936
1540.000,0.071,0.000,0.932
1560.000,0.079,0.000,0.924
1580.000,0.088,0.000,0.915
1600.000,0.100,0.000,0.903
