Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 08:33:59 2022
Short Description: KEXT_MAX/Fice_min for depth 0.5 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 5.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:5.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.643,0.357,0.000
400.000,0.637,0.363,0.000
420.000,0.633,0.367,0.000
440.000,0.636,0.364,0.000
460.000,0.630,0.370,0.000
480.000,0.638,0.362,0.000
500.000,0.642,0.357,0.000
520.000,0.635,0.364,0.000
540.000,0.642,0.358,0.000
560.000,0.635,0.364,0.000
580.000,0.641,0.359,0.000
600.000,0.644,0.356,0.000
620.000,0.631,0.369,0.001
640.000,0.639,0.360,0.001
660.000,0.632,0.367,0.001
680.000,0.631,0.368,0.001
700.000,0.631,0.368,0.002
720.000,0.636,0.361,0.002
740.000,0.633,0.364,0.003
760.000,0.637,0.360,0.004
780.000,0.637,0.357,0.005
800.000,0.632,0.361,0.007
820.000,0.631,0.361,0.007
840.000,0.635,0.358,0.007
860.000,0.630,0.360,0.010
880.000,0.627,0.358,0.015
900.000,0.624,0.357,0.019
920.000,0.628,0.352,0.021
940.000,0.627,0.349,0.024
960.000,0.618,0.350,0.031
980.000,0.615,0.341,0.044
1000.000,0.603,0.335,0.062
1020.000,0.590,0.327,0.083
1040.000,0.593,0.322,0.084
1060.000,0.603,0.326,0.070
1080.000,0.607,0.332,0.062
1100.000,0.603,0.338,0.059
1120.000,0.608,0.330,0.062
1140.000,0.601,0.324,0.075
1160.000,0.590,0.314,0.096
1180.000,0.562,0.296,0.142
1200.000,0.539,0.274,0.187
1220.000,0.506,0.237,0.257
1240.000,0.485,0.225,0.290
1260.000,0.481,0.219,0.301
1280.000,0.478,0.219,0.303
1300.000,0.486,0.221,0.294
1320.000,0.482,0.224,0.294
1340.000,0.489,0.219,0.292
1360.000,0.478,0.219,0.303
1380.000,0.470,0.207,0.323
1400.000,0.445,0.184,0.370
1420.000,0.293,0.069,0.638
1440.000,0.177,0.014,0.812
1460.000,0.119,0.003,0.882
1480.000,0.085,0.001,0.918
1500.000,0.083,0.001,0.920
1520.000,0.085,0.001,0.918
1540.000,0.093,0.001,0.909
1560.000,0.106,0.002,0.896
1580.000,0.118,0.003,0.883
1600.000,0.130,0.003,0.871
