Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:19:59 2022
Short Description: KEXT_MIN/Fice_max for depth 16.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 160.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:160.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_max_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.941,0.059,0.000
400.000,0.941,0.058,0.000
420.000,0.942,0.058,0.000
440.000,0.942,0.058,0.000
460.000,0.941,0.058,0.001
480.000,0.941,0.057,0.002
500.000,0.937,0.059,0.004
520.000,0.936,0.057,0.007
540.000,0.933,0.057,0.011
560.000,0.929,0.055,0.016
580.000,0.927,0.052,0.022
600.000,0.921,0.051,0.028
620.000,0.918,0.044,0.038
640.000,0.905,0.043,0.052
660.000,0.899,0.036,0.065
680.000,0.888,0.035,0.077
700.000,0.876,0.029,0.095
720.000,0.857,0.025,0.118
740.000,0.847,0.021,0.132
760.000,0.826,0.014,0.160
780.000,0.797,0.009,0.193
800.000,0.772,0.006,0.222
820.000,0.769,0.006,0.225
840.000,0.768,0.005,0.227
860.000,0.735,0.003,0.263
880.000,0.682,0.001,0.318
900.000,0.659,0.001,0.341
920.000,0.647,0.000,0.354
940.000,0.625,0.000,0.375
960.000,0.587,0.000,0.414
980.000,0.533,0.000,0.469
1000.000,0.479,0.000,0.523
1020.000,0.433,0.000,0.569
1040.000,0.427,0.000,0.576
1060.000,0.460,0.000,0.542
1080.000,0.480,0.000,0.522
1100.000,0.488,0.000,0.514
1120.000,0.477,0.000,0.525
1140.000,0.444,0.000,0.558
1160.000,0.404,0.000,0.598
1180.000,0.337,0.000,0.666
1200.000,0.290,0.000,0.713
1220.000,0.236,0.000,0.767
1240.000,0.215,0.000,0.789
1260.000,0.209,0.000,0.794
1280.000,0.210,0.000,0.794
1300.000,0.212,0.000,0.792
1320.000,0.214,0.000,0.789
1340.000,0.213,0.000,0.791
1360.000,0.208,0.000,0.795
1380.000,0.201,0.000,0.803
1400.000,0.174,0.000,0.830
1420.000,0.087,0.000,0.917
1440.000,0.043,0.000,0.959
1460.000,0.026,0.000,0.975
1480.000,0.017,0.000,0.984
1500.000,0.016,0.000,0.984
1520.000,0.017,0.000,0.984
1540.000,0.020,0.000,0.981
1560.000,0.022,0.000,0.979
1580.000,0.025,0.000,0.976
1600.000,0.029,0.000,0.972
