Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 09:12:33 2022
Short Description: KEXT_MIN/Fice_mean for depth 7.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 70.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:70.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_mean_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.872,0.128,0.000
400.000,0.873,0.127,0.000
420.000,0.872,0.128,0.000
440.000,0.874,0.126,0.000
460.000,0.873,0.127,0.000
480.000,0.871,0.128,0.001
500.000,0.871,0.128,0.001
520.000,0.873,0.125,0.002
540.000,0.868,0.129,0.003
560.000,0.873,0.123,0.004
580.000,0.866,0.127,0.006
600.000,0.870,0.121,0.008
620.000,0.868,0.120,0.012
640.000,0.870,0.114,0.016
660.000,0.859,0.119,0.021
680.000,0.857,0.117,0.026
700.000,0.851,0.114,0.035
720.000,0.846,0.108,0.046
740.000,0.839,0.107,0.054
760.000,0.831,0.098,0.072
780.000,0.812,0.091,0.097
800.000,0.799,0.082,0.118
820.000,0.797,0.082,0.121
840.000,0.794,0.081,0.124
860.000,0.768,0.070,0.162
880.000,0.733,0.051,0.216
900.000,0.711,0.046,0.242
920.000,0.700,0.040,0.260
940.000,0.683,0.036,0.281
960.000,0.649,0.026,0.326
980.000,0.595,0.015,0.390
1000.000,0.549,0.008,0.444
1020.000,0.497,0.004,0.501
1040.000,0.497,0.003,0.501
1060.000,0.527,0.006,0.468
1080.000,0.547,0.008,0.447
1100.000,0.553,0.008,0.439
1120.000,0.549,0.007,0.444
1140.000,0.519,0.005,0.478
1160.000,0.475,0.002,0.524
1180.000,0.403,0.001,0.598
1200.000,0.357,0.000,0.646
1220.000,0.296,0.000,0.707
1240.000,0.272,0.000,0.731
1260.000,0.263,0.000,0.741
1280.000,0.264,0.000,0.739
1300.000,0.274,0.000,0.730
1320.000,0.269,0.000,0.734
1340.000,0.266,0.000,0.737
1360.000,0.264,0.000,0.739
1380.000,0.252,0.000,0.751
1400.000,0.227,0.000,0.777
1420.000,0.118,0.000,0.886
1440.000,0.061,0.000,0.941
1460.000,0.038,0.000,0.964
1480.000,0.025,0.000,0.976
1500.000,0.023,0.000,0.978
1520.000,0.025,0.000,0.977
1540.000,0.026,0.000,0.975
1560.000,0.031,0.000,0.970
1580.000,0.036,0.000,0.965
1600.000,0.041,0.000,0.960
