Simulated Spectral Output From CRREL Snow RTM
File Created: Wed Jul 20 08:44:45 2022
Short Description: KEXT_MIN/Fice_min for depth 4.0 cm on HPC
25000 photons used in simulation
Incident Zenith Angle = 60.00 Degrees
Incident Azimuth Angle = 180.00 Degrees
Slab Depth = 40.00 mm
Surface Boundary = False
Namelist Options:
- MasterPath:/p/work/tletcher/VTKFILES/OUTPUT/
- LayerTops:40.0,0
- DepthUnits:mm
- WaveUnits:nm
- PropFileNames:Fice_min_min.txt
- Fsoot:0.0,0.0,0.0,0.0,0.0
- Contaminate:diesel
- PhaseFunc:2.0
- MaterialPath:/p/work/tletcher/CRREL_RTM/CRREL-GOSRT/Materials/
- Asymmetry:0.87
- PhaseSamples:10000.0
- RussianRouletteThresh:0.01
- RussianRouletteWeight:6.0
- xSize:10.0
- ySize:10.0
- DiffuseFraction:1.0
------------------------------------------------------  
CSV Header Below this line
WaveLength,Albedo,Transmissivty,Absorption
380.000,0.805,0.195,0.000
400.000,0.804,0.196,0.000
420.000,0.801,0.199,0.000
440.000,0.805,0.195,0.000
460.000,0.805,0.195,0.000
480.000,0.798,0.201,0.000
500.000,0.805,0.195,0.000
520.000,0.802,0.197,0.001
540.000,0.803,0.196,0.001
560.000,0.805,0.193,0.002
580.000,0.802,0.196,0.002
600.000,0.803,0.194,0.003
620.000,0.802,0.193,0.005
640.000,0.795,0.199,0.007
660.000,0.801,0.191,0.009
680.000,0.800,0.189,0.011
700.000,0.797,0.189,0.014
720.000,0.787,0.193,0.019
740.000,0.792,0.186,0.022
760.000,0.787,0.182,0.030
780.000,0.777,0.181,0.043
800.000,0.771,0.175,0.054
820.000,0.772,0.172,0.056
840.000,0.771,0.172,0.057
860.000,0.758,0.164,0.078
880.000,0.735,0.152,0.113
900.000,0.728,0.142,0.130
920.000,0.716,0.141,0.143
940.000,0.711,0.129,0.160
960.000,0.680,0.118,0.202
980.000,0.645,0.095,0.261
1000.000,0.598,0.074,0.328
1020.000,0.562,0.054,0.384
1040.000,0.555,0.055,0.390
1060.000,0.584,0.066,0.350
1080.000,0.604,0.073,0.323
1100.000,0.606,0.077,0.317
1120.000,0.600,0.073,0.326
1140.000,0.574,0.061,0.364
1160.000,0.534,0.045,0.421
1180.000,0.468,0.025,0.508
1200.000,0.414,0.013,0.574
1220.000,0.355,0.006,0.641
1240.000,0.326,0.004,0.672
1260.000,0.320,0.003,0.679
1280.000,0.320,0.003,0.680
1300.000,0.328,0.003,0.671
1320.000,0.329,0.003,0.670
1340.000,0.327,0.003,0.672
1360.000,0.325,0.003,0.674
1380.000,0.310,0.002,0.690
1400.000,0.275,0.001,0.727
1420.000,0.154,0.000,0.849
1440.000,0.081,0.000,0.923
1460.000,0.053,0.000,0.950
1480.000,0.036,0.000,0.966
1500.000,0.032,0.000,0.969
1520.000,0.033,0.000,0.969
1540.000,0.039,0.000,0.963
1560.000,0.044,0.000,0.958
1580.000,0.048,0.000,0.955
1600.000,0.058,0.000,0.944
