Wavelength,0212202100152.asd
350, 2220.9341660416 
351, 2334.71255235951 
352, 2439.23499365724 
353, 2530.11386498479 
354, 2617.59226072907 
355, 2707.38171947682 
356, 2802.03272708911 
357, 2899.02856286824 
358, 2999.86114607222 
359, 3105.69186915453 
360, 3220.43324958122 
361, 3362.54720766634 
362, 3526.8788664022 
363, 3704.47132132123 
364, 3885.09002764415 
365, 4068.87482321259 
366, 4244.56627694338 
367, 4398.03549796618 
368, 4514.23649612971 
369, 4582.90557787218 
370, 4606.52914283535 
371, 4597.66865931357 
372, 4579.15578753519 
373, 4572.31248541503 
374, 4579.733255507 
375, 4590.32486353116 
376, 4599.63680200538 
377, 4604.14338393552 
378, 4593.85827036969 
379, 4550.4731329196 
380, 4496.27181905884 
381, 4435.94139907827 
382, 4367.78276180242 
383, 4283.55418970998 
384, 4196.77588793498 
385, 4136.18062008141 
386, 4136.19222002708 
387, 4220.5016646938 
388, 4341.55526087104 
389, 4447.21253667499 
390, 4493.52403271457 
391, 4545.51080517189 
392, 4596.70516827383 
393, 4636.45487901622 
394, 4668.97512546533 
395, 4765.14409113063 
396, 4955.33165839539 
397, 5250.0895417451 
398, 5665.14682046969 
399, 6135.32099070815 
400, 6617.16634575833 
401, 7090.95819607065 
402, 7539.75074337833 
403, 7907.58800022872 
404, 8172.44260998066 
405, 8381.45574968126 
406, 8545.60088921092 
407, 8689.70160783087 
408, 8846.49482660427 
409, 9064.32383303858 
410, 9325.86091321484 
411, 9614.85631056616 
412, 9916.95322124816 
413, 10214.6794832799 
414, 10509.6253199596 
415, 10795.466872922 
416, 11045.9536345044 
417, 11282.0640458708 
418, 11523.9772612051 
419, 11778.0714991182 
420, 11997.230251922 
421, 12218.0575375551 
422, 12459.240978229 
423, 12719.4183856757 
424, 12961.2149557072 
425, 13151.7718645243 
426, 13263.0639589328 
427, 13270.0075153088 
428, 13218.304198598 
429, 13227.0547484489 
430, 13391.7228675379 
431, 13629.9087780821 
432, 13944.4159750722 
433, 14407.475534336 
434, 15110.5452868815 
435, 15855.2277448307 
436, 16424.4199209197 
437, 16774.3404029827 
438, 17145.0207547267 
439, 17526.4152738159 
440, 17885.98029647 
441, 18210.7759175384 
442, 18632.1684804179 
443, 19075.9970955529 
444, 19483.0592189821 
445, 19815.5840729236 
446, 20081.9790798619 
447, 20320.6932737579 
448, 20574.3746034215 
449, 20891.3155713058 
450, 21158.4350897669 
451, 21301.1888605869 
452, 21292.4060747205 
453, 21234.9574579266 
454, 21114.7040904668 
455, 20963.4711310708 
456, 20855.1085054456 
457, 20828.4057731233 
458, 20833.2491021484 
459, 20816.9628541601 
460, 20759.3486561615 
461, 20675.6757106501 
462, 20585.4567083648 
463, 20497.6485339162 
464, 20359.6685100905 
465, 20149.6266378945 
466, 19891.9968321283 
467, 19654.8553256692 
468, 19452.2780069595 
469, 19300.163860302 
470, 19206.5592321939 
471, 19172.0660471354 
472, 19147.965669922 
473, 19139.6513364578 
474, 19167.18221055 
475, 19159.8005470766 
476, 19135.5888869238 
477, 19118.1185699751 
478, 19126.7369192818 
479, 19189.4872226267 
480, 19277.8642718857 
481, 19341.11089321 
482, 19323.7941451836 
483, 19180.5543690357 
484, 18880.4342489331 
485, 18428.8351466407 
486, 17991.7395641348 
487, 17681.540733241 
488, 17589.1065093822 
489, 17795.353976141 
490, 18122.6952935401 
491, 18391.1736335883 
492, 18485.0783825675 
493, 18519.7127322649 
494, 18570.8223033334 
495, 18673.782004717 
496, 18817.3330327953 
497, 18861.7581475398 
498, 18808.4619182226 
499, 18689.0326073365 
500, 18530.7291752667 
501, 18405.5738175984 
502, 18351.643204742 
503, 18390.582022466 
504, 18556.9171782843 
505, 18792.9618931774 
506, 19036.3954119205 
507, 19230.0453246255 
508, 19377.5953638924 
509, 19493.5542453686 
510, 19601.9256616907 
511, 19747.7169469865 
512, 19849.0437162749 
513, 19869.0312157485 
514, 19799.2222694891 
515, 19635.4699386749 
516, 19414.1477389489 
517, 19198.2816488362 
